Inserted 990000
Inserted 995000

7 hodin 1M xdd

19839: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19840: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19841: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19842: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19843: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19844: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19845: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19846: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19847: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19848: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19849: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19850: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19851: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19852: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19853: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19854: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19855: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19856: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19857: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19858: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19859: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19860: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19861: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19862: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19863: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19864: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19865: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19866: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19867: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19868: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19869: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19870: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19871: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19872: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19873: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19874: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19875: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19876: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19877: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19878: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19879: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19880: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19881: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19882: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19883: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19884: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19885: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19886: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19887: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19888: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19889: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19890: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19891: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19892: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19893: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19894: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19895: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19896: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19897: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19898: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19899: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19900: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19901: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19902: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19903: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19904: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19905: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19906: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19907: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19908: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19909: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19910: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19911: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19912: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19913: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19914: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19915: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19916: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19917: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19918: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19919: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19920: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19921: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19922: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19923: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19924: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19925: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19926: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19927: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19928: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19929: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19930: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19931: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19932: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19933: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19934: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19935: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19936: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19937: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19938: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19939: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19940: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19941: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19942: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19943: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19944: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19945: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19946: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19947: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19948: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19949: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19950: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19951: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19952: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19953: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19954: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19955: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19956: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19957: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19958: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19959: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19960: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19961: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19962: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19963: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19964: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19965: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19966: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19967: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19968: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19969: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19970: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19971: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19972: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19973: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19974: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19975: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19976: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19977: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19978: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19979: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19980: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19981: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19982: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19983: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19984: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19985: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19986: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19987: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19988: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19989: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19990: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
